,mothers_education,fathers_education,mothers_job,fathers_job,G1,G2,final_grade
451,1,2,0,0,10,11,11
452,2,2,0,0,9,10,11
453,1,2,0,1,10,8,8
454,1,2,0,1,9,8,8
455,2,1,2,0,9,10,9
456,1,1,2,0,13,14,15
457,1,2,2,1,10,11,11
458,1,1,0,0,13,10,13
459,1,1,2,0,10,9,10
460,1,1,2,0,11,10,11
461,1,1,2,0,13,12,14
462,1,1,2,2,13,14,14
463,2,2,0,0,14,11,12
464,1,1,2,0,11,11,11
465,1,2,0,0,9,8,8
466,3,1,0,1,10,9,11
467,2,2,0,1,14,13,14
468,2,2,4,0,13,12,13
469,4,4,0,3,13,12,13
470,3,3,1,0,13,12,12
471,2,2,2,0,12,11,12
472,2,2,0,0,14,14,16
473,2,1,2,1,10,8,10
474,1,3,2,0,10,11,11
475,2,2,0,1,12,13,14
476,2,1,0,0,10,8,8
477,3,3,1,1,12,10,11
478,1,1,2,0,7,7,8
479,2,2,0,2,9,9,10
480,2,3,2,1,9,9,10
481,2,1,2,0,9,10,11
482,1,1,2,0,9,10,9
483,2,2,0,0,9,10,11
484,2,2,0,0,7,7,8
485,2,2,2,0,11,10,11
486,2,2,0,1,9,10,10
487,3,2,0,0,7,9,10
488,1,1,2,1,7,9,9
489,1,1,0,0,8,9,10
490,1,1,2,2,9,11,10
491,1,1,0,0,7,8,9
492,2,2,4,0,8,10,10
493,0,1,0,2,9,9,10
494,1,2,2,0,8,9,9
495,3,3,0,0,14,13,13
496,1,1,1,1,14,14,14
497,3,3,1,2,10,11,10
498,2,1,0,1,14,13,14
499,2,2,1,0,17,16,16
500,1,2,0,0,6,7,7
501,4,3,0,0,14,12,13
502,2,2,1,1,10,8,9
503,1,1,0,0,14,14,14
504,2,2,0,0,12,13,13
505,1,1,2,0,11,11,11
506,3,3,2,1,11,9,10
507,1,1,0,1,11,11,10
508,2,2,0,0,10,9,9
509,1,1,2,0,16,17,18
510,2,2,0,0,15,17,17
511,1,0,0,0,11,9,10
512,1,1,2,0,7,7,7
513,3,1,0,0,8,6,8
514,3,2,1,2,7,6,7
515,1,1,0,2,9,8,10
516,4,4,4,3,14,16,16
517,1,2,0,0,14,14,15
518,2,4,0,1,8,5,8
519,2,1,0,1,8,7,0
520,1,1,2,0,6,8,8
521,2,3,2,1,8,10,10
522,4,4,4,4,8,8,8
523,4,4,2,4,5,6,6
524,3,4,2,0,7,9,8
525,4,4,0,1,15,14,16
526,4,1,0,0,13,14,14
527,2,2,1,1,10,9,10
528,2,2,2,0,9,9,9
529,4,4,1,1,11,11,11
530,3,3,1,1,7,10,9
531,1,1,2,1,10,10,10
532,2,1,4,1,9,7,8
533,2,1,0,1,14,15,16
534,4,4,3,4,11,12,12
535,1,2,0,1,9,11,10
536,2,2,0,0,13,14,14
537,2,1,1,1,12,13,12
538,2,2,0,0,11,11,11
539,4,1,0,0,9,10,10
540,3,2,2,0,9,11,11
541,2,2,0,0,11,9,11
542,4,4,3,1,10,11,12
543,4,4,4,0,9,9,8
544,1,3,0,0,12,11,12
545,3,4,1,0,8,9,8
546,4,4,4,4,13,15,16
547,4,1,0,2,10,11,11
548,1,1,2,2,11,10,11
549,4,2,0,0,17,18,18
550,2,2,0,1,12,13,13
551,3,2,0,0,13,14,13
552,1,1,0,0,9,9,10
553,1,0,0,0,11,11,12
554,1,1,2,2,10,11,10
555,1,2,0,0,13,14,13
556,1,2,0,2,9,10,11
557,3,1,0,0,7,9,10
558,2,2,0,0,8,13,10
559,1,0,2,2,12,12,13
560,1,1,0,1,10,9,10
561,1,1,2,2,10,9,10
562,2,2,0,1,11,13,12
563,2,2,0,0,7,0,0
564,3,2,1,0,11,9,10
565,1,1,2,0,10,10,9
566,1,1,1,0,9,7,9
567,3,2,1,0,4,0,0
568,3,2,2,1,6,11,9
569,3,3,2,2,4,8,8
570,2,2,1,1,7,8,8
571,2,1,2,0,8,9,9
572,3,2,1,2,5,5,7
573,1,1,0,2,7,9,10
574,1,1,0,0,8,11,10
575,4,3,1,1,10,11,10
576,3,2,0,0,9,10,11
577,1,1,0,1,10,9,11
578,3,3,4,0,8,9,10
579,1,3,2,1,9,10,9
580,1,1,0,0,8,9,10
581,1,2,2,0,6,8,8
582,1,1,2,0,6,8,7
583,2,2,0,0,8,6,0
584,0,0,2,0,10,11,11
585,3,1,0,2,8,7,8
586,4,2,3,1,8,8,0
587,2,2,1,1,7,6,8
588,4,1,4,2,8,10,9
589,1,2,2,0,7,10,10
590,1,1,0,0,7,8,7
591,2,2,1,2,12,13,14
592,3,3,1,1,11,12,13
593,1,2,2,0,12,13,14
594,4,4,3,3,18,18,18
595,4,4,1,0,17,17,17
596,4,2,0,0,17,18,18
597,2,2,2,0,9,0,0
598,1,2,2,1,10,11,11
599,4,4,2,1,12,13,14
600,1,1,0,1,12,13,14
601,2,2,0,0,8,8,10
602,2,2,1,1,11,12,13
603,4,2,3,0,5,0,0
604,1,1,2,1,9,10,10
605,1,1,2,1,5,0,0
606,4,2,3,0,18,18,18
607,2,1,1,0,11,11,12
608,1,1,2,1,8,10,11
609,1,2,2,2,11,11,12
610,1,1,2,2,8,0,0
611,2,2,1,0,14,14,15
612,4,3,1,0,10,11,11
613,3,3,1,1,10,10,10
614,4,4,3,1,12,12,12
615,3,2,1,0,15,14,15
616,1,1,0,1,14,13,14
617,1,1,2,1,19,17,18
618,1,2,2,0,16,15,15
619,3,3,1,1,13,12,13
620,4,4,2,2,15,14,15
621,1,2,0,1,13,13,13
622,1,3,2,0,8,10,9
623,4,4,3,1,15,16,16
624,1,1,0,1,8,8,9
625,2,3,2,1,10,10,10
626,4,4,0,3,7,5,0
627,1,2,2,1,9,10,10
628,2,2,0,2,10,11,12
629,1,2,0,0,7,8,9
630,4,4,0,0,15,17,17
631,1,1,0,0,10,11,12
632,1,1,2,0,7,8,9
633,4,4,3,1,13,14,14
634,3,3,0,0,16,16,16
635,3,1,2,0,8,9,9
636,4,4,3,3,17,18,19
637,2,1,0,0,7,7,0
638,2,3,0,1,14,15,16
639,1,1,0,1,5,8,0
640,4,2,0,0,7,7,0
641,2,2,2,0,14,17,15
642,4,3,3,0,6,9,11
643,4,4,3,2,7,9,10
644,2,3,1,0,10,11,10
645,3,1,3,1,15,15,16
646,1,1,0,0,11,12,9
647,3,1,1,1,10,10,10
648,3,2,1,0,10,11,11
