,Pstatus,failures,Dalc,Walc,G1,G2,G3
215,T,0,1,3,14,15,15
216,T,2,2,4,6,6,4
217,T,1,2,4,6,6,8
218,T,0,1,4,7,7,8
219,T,0,1,1,9,10,10
220,T,0,1,2,6,6,6
221,T,1,1,1,6,5,0
222,T,0,1,1,16,16,17
223,T,0,5,5,12,13,13
224,T,0,1,1,13,13,14
225,T,1,1,1,9,8,7
226,T,0,1,3,16,15,15
227,T,0,1,3,12,11,12
228,T,0,4,5,10,8,9
229,A,0,1,2,12,10,12
230,T,0,1,2,13,13,14
231,T,0,1,1,11,11,11
232,T,0,1,3,11,9,9
233,T,0,2,4,14,13,13
234,T,0,1,1,9,7,6
235,T,0,1,3,11,9,10
236,T,0,5,5,14,13,13
237,T,0,1,1,13,12,12
238,T,0,1,1,13,11,11
239,T,1,3,5,7,7,0
240,T,0,1,4,12,12,12
241,A,0,2,3,10,11,12
242,T,0,1,1,6,0,0
243,T,0,1,2,13,12,12
244,T,0,1,1,7,0,0
245,T,0,1,1,18,18,18
246,T,0,1,1,12,12,13
247,T,3,5,5,6,8,8
248,T,1,1,3,3,5,5
249,T,0,2,4,13,15,15
250,T,1,2,4,6,8,8
251,T,0,1,3,7,10,10
252,T,1,2,5,6,9,8
253,T,0,1,3,8,9,8
254,T,0,2,4,8,12,12
255,T,1,1,2,7,9,8
256,T,0,1,1,14,12,13
257,A,0,1,1,11,11,11
258,T,0,1,2,15,14,14
259,T,0,1,1,10,9,0
260,T,0,1,3,17,18,18
261,T,0,1,1,8,8,8
262,T,0,1,1,13,12,12
263,T,0,1,1,10,9,9
264,T,0,1,1,9,10,0
265,A,0,3,4,17,17,17
266,T,0,3,4,9,9,10
267,T,0,2,2,12,10,11
268,T,0,1,3,10,9,10
269,T,0,1,2,6,0,0
270,T,2,3,3,9,9,9
271,T,0,1,3,15,14,14
272,T,0,1,1,11,11,11
273,T,0,2,2,15,14,14
274,T,0,1,1,10,10,10
275,T,0,2,3,12,12,12
276,A,0,1,1,10,9,9
277,T,0,1,4,9,9,9
278,T,1,1,1,9,8,8
279,T,0,1,2,10,11,10
280,A,0,2,4,8,8,8
281,A,1,3,4,11,9,10
282,T,0,1,1,12,12,12
283,T,0,1,1,8,9,10
284,T,0,1,2,10,9,11
285,T,0,1,2,12,10,11
286,T,0,1,2,18,18,19
287,T,0,1,1,13,12,12
288,T,0,1,3,15,14,14
289,A,0,1,1,15,13,15
290,T,0,1,4,12,11,11
291,T,0,1,2,15,15,15
292,T,1,1,1,12,12,13
293,T,0,1,1,18,18,18
294,T,0,1,1,14,13,14
295,T,0,1,3,14,12,11
296,T,0,2,3,10,9,0
297,T,0,1,2,10,8,8
298,T,0,1,1,14,13,14
299,T,0,2,2,16,15,16
300,A,0,1,1,12,10,11
301,T,0,2,2,11,11,10
302,T,0,1,1,15,12,14
303,T,0,1,2,17,17,18
304,T,1,1,1,15,14,13
305,T,1,1,1,14,12,12
306,A,0,1,1,17,18,18
307,T,1,1,1,8,9,8
308,T,1,1,2,15,12,12
309,T,1,1,3,12,10,10
310,T,1,2,2,9,9,0
311,T,0,1,1,14,12,13
312,T,1,2,2,13,11,11
313,T,1,1,2,13,10,11
314,T,2,1,1,15,13,13
315,T,1,1,1,13,11,11
316,T,0,1,2,8,8,0
317,T,0,1,1,9,10,9
318,T,0,2,5,11,11,10
319,T,0,3,3,11,11,11
320,A,0,1,2,13,13,13
321,T,0,1,1,11,9,9
322,T,0,2,2,11,11,11
323,T,0,2,3,12,14,15
324,T,0,2,3,16,15,15
325,T,0,2,2,9,12,11
326,T,0,3,5,14,15,16
327,T,0,5,5,11,10,10
328,T,0,1,3,10,9,9
329,T,0,1,2,14,14,14
330,T,0,2,4,9,8,8
331,T,0,1,1,12,14,14
332,T,0,1,1,7,0,0
333,T,0,1,1,8,8,0
334,T,0,1,1,10,9,0
335,T,0,1,3,16,15,15
336,A,1,1,2,14,13,13
337,T,0,2,3,7,8,0
338,T,0,1,1,16,15,17
339,A,0,2,3,9,10,10
340,T,1,1,3,11,12,11
341,T,1,2,2,10,10,0
342,T,0,1,3,16,15,15
343,A,1,1,2,9,8,0
344,T,0,1,2,11,10,10
345,T,0,2,3,13,13,14
346,T,0,1,2,16,15,16
347,T,0,2,3,10,10,9
348,T,0,1,3,13,15,15
349,T,1,5,5,11,13,13
350,T,3,3,3,8,7,8
351,T,0,2,3,13,13,13
352,T,1,2,3,8,7,8
353,T,1,3,3,8,8,8
354,T,0,1,3,13,11,11
355,T,0,1,1,10,9,9
356,T,0,1,2,12,13,13
357,A,0,1,2,12,12,11
358,T,0,1,2,10,10,10
359,T,0,1,1,18,16,16
360,A,0,1,4,13,13,13
361,T,1,2,3,13,12,12
362,T,0,1,3,11,11,10
363,T,0,1,1,16,15,15
364,T,0,1,2,12,11,12
365,T,0,2,4,10,10,10
366,T,0,2,2,13,13,13
367,T,1,1,2,7,6,0
368,T,0,1,2,11,10,10
369,T,0,4,2,14,12,11
370,T,2,1,1,7,7,9
371,T,0,2,3,14,12,12
372,T,0,1,1,13,11,11
373,T,0,1,3,6,5,5
374,T,0,1,1,19,18,19
375,T,0,1,2,8,8,10
376,T,2,1,1,15,14,15
377,T,0,3,4,8,9,10
378,T,0,1,2,15,15,15
379,T,0,2,3,10,10,10
380,T,0,1,4,15,14,14
381,T,0,1,3,7,6,7
382,T,0,1,1,11,11,10
383,T,1,1,3,6,5,0
384,T,1,4,3,6,5,5
385,T,0,1,3,10,9,10
386,T,0,2,2,6,5,6
387,T,1,1,2,7,5,0
388,T,0,1,1,7,9,8
389,T,1,1,1,6,5,0
390,A,2,4,5,9,9,9
391,T,0,3,4,14,16,16
392,T,3,3,3,10,8,7
393,T,0,3,4,11,12,10
394,T,0,3,3,8,9,9
